player_name,birth_year,age_group,position,current_or_listed_club,football_xiaojiang_relation,relation_source_url,national_team_level,team_name_official,selection_type,selection_date,event_or_context,source_priority,national_team_source_url,source_title,confidence,notes
万项,2009,2009,中场,贝尔格莱德红星,长期队员,https://sports.sina.com.cn/china/2026-02-18/doc-ihyfjwiy0098342.shtml,U17,中国U-17国家男子足球队,正式名单/出场,2026-04-28,2026年沙特U17亚洲杯决赛阶段,official,https://www.thecfa.cn/zxwj/20260428/33890.html,中国足球协会关于组织U-17国家男子足球队备战U17亚洲杯决赛阶段比赛的通知,high,验证状态: confirmed
邝兆镭,2009,2009,中场,青岛海牛,长期队员,https://www.thepaper.cn/newsDetail_forward_22453678,U17,中国U-17国家男子足球队,正式名单/出场,2026-04-28,2026年沙特U17亚洲杯决赛阶段,official,https://www.thecfa.cn/zxwj/20260428/33890.html,中国足球协会关于组织U-17国家男子足球队备战U17亚洲杯决赛阶段比赛的通知,high,验证状态: confirmed
赵松源,2009,2009,前锋,清华大学附属中学,长期队员,https://m.zhibo8.com/news/soccer/china/2023-11-23/655ece7d7d5cb.htm,U17,中国U-17国家男子足球队,正式名单/出场,2026-04-28,2026年沙特U17亚洲杯决赛阶段,official,https://www.thecfa.cn/zxwj/20260428/33890.html,中国足球协会关于组织U-17国家男子足球队备战U17亚洲杯决赛阶段比赛的通知,high,验证状态: confirmed
谢晋,2009,2009,中场,皇家卡拉万切尔,长期队员,https://www.dongqiudi.com/articles/4119828.html,U17,中国U-17国家男子足球队,正式名单/出场,2026-04-28,2026年沙特U17亚洲杯决赛阶段,official,https://www.thecfa.cn/zxwj/20260428/33890.html,中国足球协会关于组织U-17国家男子足球队备战U17亚洲杯决赛阶段比赛的通知,high,验证状态: confirmed
帅惟浩,2009,2009,前锋,成都蓉城,出自小将/带培养背景,https://sports.ifeng.com/c/8e3a298a00213,U17,中国U-17国家男子足球队,正式名单/出场,2026-04-28,2026年沙特U17亚洲杯决赛阶段,official,https://www.thecfa.cn/zxwj/20260428/33890.html,中国足球协会关于组织U-17国家男子足球队备战U17亚洲杯决赛阶段比赛的通知,high,验证状态: confirmed
汪修昊,2009,2009,后卫,达姆,长期队员,https://www.163.com/dy/article/JC58N72E0529A10P.html,U17,中国U-17国家男子足球队,正式名单/出场,2026-04-28,2026年沙特U17亚洲杯决赛阶段,official,https://www.thecfa.cn/zxwj/20260428/33890.html,中国足球协会关于组织U-17国家男子足球队备战U17亚洲杯决赛阶段比赛的通知,high,验证状态: confirmed
南子勋,2009,2009,后卫,清华大学附属中学,长期队员,https://m.zhibo8.com/news/soccer/china/2023-11-23/655ece7d7d5cb.htm,U17,中国U-17国家男子足球队,正式名单/出场,2026-04-28,2026年沙特U17亚洲杯决赛阶段,official,https://www.thecfa.cn/zxwj/20260428/33890.html,中国足球协会关于组织U-17国家男子足球队备战U17亚洲杯决赛阶段比赛的通知,high,验证状态: confirmed
周雨诺,2009,2009,中场,清华大学附属中学,长期队员,https://m.zhibo8.com/news/soccer/china/2023-11-23/655ece7d7d5cb.htm,U17,中国U-17国家男子足球队,正式名单/出场,2026-04-28,2026年沙特U17亚洲杯决赛阶段,official,https://www.thecfa.cn/zxwj/20260428/33890.html,中国足球协会关于组织U-17国家男子足球队备战U17亚洲杯决赛阶段比赛的通知,high,验证状态: confirmed
顾博宇,2009,2009,后卫,上海申花,长期队员,https://www.163.com/dy/article/JC58N72E0529A10P.html,U17,中国U-17国家男子足球队,正式名单/出场,2026-04-28,2026年沙特U17亚洲杯决赛阶段,official,https://www.thecfa.cn/zxwj/20260428/33890.html,中国足球协会关于组织U-17国家男子足球队备战U17亚洲杯决赛阶段比赛的通知,high,验证状态: confirmed
毛永彬,2009,2009,门将,上海海港,长期队员,https://m.zhibo8.com/news/soccer/china/2023-11-23/655ece7d7d5cb.htm,U15,中国U-15国家男子足球选拔队,集训名单,2024-06-18,2024年第一期2009年龄段国少集训,official,https://www.thecfa.cn/zxwj/20240618/32155.html,中国足球协会关于组织2009年龄段男子国家少年足球选拔队集训的通知,high,验证状态: confirmed
